Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","351","China","5510","Production","388","Tomatoes","1961","1961","tonnes","4825890","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1965","1965","tonnes","4033023","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1970","1970","tonnes","3700197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1975","1975","tonnes","4331908","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1980","1980","tonnes","5480652","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1985","1985","tonnes","6484716","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1990","1990","tonnes","7758020","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","1995","1995","tonnes","13172494","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","2000","2000","tonnes","22324774","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","2005","2005","tonnes","31618471","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","2010","2010","tonnes","46876084","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5510","Production","388","Tomatoes","2015","2015","tonnes","54919967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1961","1961","tonnes","869135","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1965","1965","tonnes","1242154","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1970","1970","tonnes","1555000","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1975","1975","tonnes","2107000","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1980","1980","tonnes","2467793","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1985","1985","tonnes","3576000","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1990","1990","tonnes","4233842","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","1995","1995","tonnes","5034197","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","2000","2000","tonnes","6785640","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","2005","2005","tonnes","7600000","F","FAO estimate"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","2010","2010","tonnes","8544993","","Official data"
"QC","Crops","59","Egypt","5510","Production","388","Tomatoes","2015","2015","tonnes","7737827","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1961","1961","tonnes","464000","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1965","1965","tonnes","525000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1970","1970","tonnes","620000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1975","1975","tonnes","830000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1980","1980","tonnes","1500000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1985","1985","tonnes","2300000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1990","1990","tonnes","4603446","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","1995","1995","tonnes","5260000","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","2000","2000","tonnes","7430000","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","2005","2005","tonnes","8825400","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","2010","2010","tonnes","12433200","","Official data"
"QC","Crops","100","India","5510","Production","388","Tomatoes","2015","2015","tonnes","16385000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1961","1961","tonnes","1120000","F","FAO estimate"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1965","1965","tonnes","1281700","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1970","1970","tonnes","1810000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1975","1975","tonnes","2300000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1980","1980","tonnes","3550000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1985","1985","tonnes","4900000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1990","1990","tonnes","6000000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","1995","1995","tonnes","7250000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","2000","2000","tonnes","8890000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","2005","2005","tonnes","10050000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","2010","2010","tonnes","10052000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","2015","2015","tonnes","12615000","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1961","1961","tonnes","4820709","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1965","1965","tonnes","5017059","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1970","1970","tonnes","5416500","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1975","1975","tonnes","8672150","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1980","1980","tonnes","6785930","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1985","1985","tonnes","7859930","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1990","1990","tonnes","10927000","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","1995","1995","tonnes","11784000","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2000","2000","tonnes","12622261","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2005","2005","tonnes","11918268","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2010","2010","tonnes","14053000","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2015","2015","tonnes","14580440","","Official data"
