Precinct,Violation,Law,CY2007,CY2008,CY2009,CY2010,CY2011,CY2012,CY2013,CY2014,CY2015,CY2016,2017 YTD 03-31
CITYWIDE,ACCEPT ON HAIL,Administrative Code,5547,3782,4606,4996,4223,3161,3514,2935,2118,2606,937
CITYWIDE,AFTER HOURS CONSUMPTION,ABC,232,238,209,161,370,398,282,219,127,100,16
CITYWIDE,AGGRAVATED UNLICENSED OPERATOR,VTL,301,425,572,360,549,274,307,428,326,253,81
CITYWIDE,ANGLE PARKING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
CITYWIDE,BARE HAND CONTACT (FOOD),Health Code,0,30,75,145,254,267,222,26,28,37,10
CITYWIDE,BICYCLE (OTHER),VTL,80,56,42,34,30,33,41,14,11,2,1
CITYWIDE,BICYCLE INFRACTION (COMMERCIAL),Administrative Code,4729,4079,4481,4971,6287,4923,3171,1727,969,314,70
CITYWIDE,BICYCLE NO BELL,VTL,32,113,119,47,1,1,2,0,0,0,0
CITYWIDE,BICYCLE NO BRAKES,VTL,2,0,1,3,0,0,24,0,0,0,0
CITYWIDE,BICYCLE NO LIGHTS,VTL,9,7,2,4,1,6,26,0,1,0,0
CITYWIDE,BICYCLE NO REFLECTOR VEST,VTL,1,2,10,7,5,4,6,0,1,1,0
CITYWIDE,BICYCLE NO SAFETY HELMET,VTL,37,33,27,53,18,27,17,15,89,76,17
CITYWIDE,BICYCLE ON SIDEWALK,Administrative Code,23180,24552,24884,27957,32190,31402,21187,3845,1858,1072,147
CITYWIDE,BIKE IN PARK,Park Regs,184,458,972,308,187,538,608,471,353,236,22
CITYWIDE,BOX CUTTER,Administrative Code,720,771,734,625,517,524,363,274,214,255,59
CITYWIDE,BROKEN WINDSHIELD,VTL,33,28,15,11,3,4,3,4,1,1,0
CITYWIDE,COMMERCIAL VEHICLE PARKED OVERNIGHT,Traffic Regs,1,28,0,0,0,0,0,0,2,0,0
CITYWIDE,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,Administrative Code,1462,1480,1542,1145,1040,1131,965,981,706,661,239
CITYWIDE,CONSUMPTION OF ALCOHOL,Administrative Code,129073,137281,142308,153363,133137,129967,126220,116972,104859,90640,12291
CITYWIDE,CONSUMPTION OF ALCOHOL IN PARK,Park Regs,1488,1578,1460,1468,1221,1213,1019,681,535,628,42
CITYWIDE,CONSUMPTION OF ALCOHOL IN VEHICLE,VTL,53,32,56,40,16,22,36,45,24,44,8
CITYWIDE,CROSSED DOUBLE YELLOW TO PASS,VTL,2,2,0,0,0,1,0,1,1,2,0
CITYWIDE,CROSSWALK,Traffic Regs,13,11,9,7,22,9,7,35,6,3,0
CITYWIDE,CRUISING,Traffic Regs,97,21,28,20,16,24,8,5,2,1,0
CITYWIDE,CRUISING PROHIBITED - MEDALLION,Administrative Code,1268,877,1113,1274,895,513,305,261,228,124,17
CITYWIDE,DEFECTIVE BREAKLIGHT,VTL,105,58,61,57,24,35,77,12,22,10,1
CITYWIDE,DEFECTIVE HEADLIGHT,VTL,160,130,18,85,26,10,43,19,11,6,5
CITYWIDE,DEFECTIVE REFLECTOR,VTL,42,35,13,19,3,2,17,1,3,4,2
CITYWIDE,DISOBEY TRANSIT SIGN,Transit Regs,31,7,7,22,2,5,2,3,3,76,14
CITYWIDE,DISORDERLY CONDUCT,Penal Law,104127,94510,101515,91756,87497,76664,56103,42207,27923,21131,3748
CITYWIDE,DISORDERLY PERSON IN PARK,Park Regs,386,330,164,194,172,196,121,160,112,102,8
CITYWIDE,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,ABC,995,224,184,172,276,315,333,239,222,224,64
CITYWIDE,DOG IN PARK,Park Regs,173,135,170,192,137,133,82,99,82,98,18
CITYWIDE,DOG: FAILURE TO REMOVE CANINE WASTE,Health Code,565,681,734,689,643,656,623,564,391,360,72
CITYWIDE,DOG: NO VACCINATION,Health Code,681,676,779,837,126,72,31,13,4,2,0
CITYWIDE,DOG: UNLEASHED,Health Code,3713,3810,3675,3255,3031,2733,2404,1809,1226,1216,231
CITYWIDE,DOG: UNLICENSED,Health Code,1964,2596,2670,2646,1583,1363,382,176,73,60,9
CITYWIDE,DOING BUS WITH OTHER NAME,General Business Law,37,23,33,39,64,42,38,18,8,1,0
CITYWIDE,DOUBLE PARKING,Traffic Regs,0,2,0,0,0,1,0,0,0,0,0
CITYWIDE,DRIVE ON SIDEWALK,VTL,20,23,36,47,35,26,7,5,2,2,0
CITYWIDE,DRIVE THRU BARRIER,VTL,2,0,0,1,1,0,0,0,0,1,0
CITYWIDE,DUMPING,Administrative Code,104,77,67,92,58,62,44,33,54,30,2
CITYWIDE,EXCAVATION (VEHICLE OBSTRUCTING TRAFFIC),Traffic Regs,1,2,1,1,4,2,1,0,0,0,0
CITYWIDE,EXPOSURE OF PERSON,Penal Law,1189,991,831,736,610,609,723,619,698,500,137
CITYWIDE,FAIL TO COMPLY WITH ORDER,VTL,59,44,41,33,29,32,18,12,11,9,0
CITYWIDE,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,Administrative Code,2767,1640,2246,2793,2981,3115,3270,1950,884,531,146
CITYWIDE,FAIL TO SECURE WORKERS COMPENSATION INSURANCE,NYS Workers Comp,26,6,1,1,0,1,0,1,0,1,0
CITYWIDE,FAIL TO YIELD AT LEFT TURN,VTL,1,1,1,1,1,1,0,0,1,0,0
CITYWIDE,FAIL TO YIELD FOR EMERGENCY VEHICLE,VTL,19,25,26,27,25,22,26,16,10,4,0
CITYWIDE,FAILED TO DISPLAY BARBER LICENSE,General Business Law,53,53,54,71,61,107,102,34,14,11,2
CITYWIDE,FAILURE TO COMPLY WITH SIGN,Park Regs,19499,21860,26606,28326,23725,25093,26383,24563,18037,16164,2448
CITYWIDE,FAILURE TO SURRENDER LICENSE OR REGISTRATION,VTL,182,151,76,104,45,36,34,45,21,26,8
CITYWIDE,FAILURE TO YIELD AT INTERSECTION,VTL,11,9,6,2,8,2,4,6,3,3,2
