Violation,Law,Year,Summons
BICYCLE ON SIDEWALK,Administrative Code,2007,23180
BICYCLE ON SIDEWALK,Administrative Code,2008,24552
BICYCLE ON SIDEWALK,Administrative Code,2009,24884
BICYCLE ON SIDEWALK,Administrative Code,2010,27957
BICYCLE ON SIDEWALK,Administrative Code,2011,32190
BICYCLE ON SIDEWALK,Administrative Code,2012,31402
BICYCLE ON SIDEWALK,Administrative Code,2013,21187
BICYCLE ON SIDEWALK,Administrative Code,2014,3845
BICYCLE ON SIDEWALK,Administrative Code,2015,1858
BICYCLE ON SIDEWALK,Administrative Code,2016,1072
BICYCLE ON SIDEWALK,Administrative Code,2017,610
