Violation,Law,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ACCEPT ON HAIL,Administrative Code,5547,3782,4606,4996,4223,3161,3514,2935,2118,2606
AFTER HOURS CONSUMPTION,ABC,232,238,209,161,370,398,282,219,127,100
AGGRAVATED UNLICENSED OPERATOR,VTL,301,425,572,360,549,274,307,428,326,253
ANGLE PARKING,Traffic Regs,0,0,0,0,0,0,0,0,0,0
BARE HAND CONTACT (FOOD),Health Code,0,30,75,145,254,267,222,26,28,37
BICYCLE (OTHER),VTL,80,56,42,34,30,33,41,14,11,2
BICYCLE INFRACTION (COMMERCIAL),Administrative Code,4729,4079,4481,4971,6287,4923,3171,1727,969,314
BICYCLE NO BELL,VTL,32,113,119,47,1,1,2,0,0,0
BICYCLE NO BRAKES,VTL,2,0,1,3,0,0,24,0,0,0
BICYCLE NO LIGHTS,VTL,9,7,2,4,1,6,26,0,1,0
BICYCLE NO REFLECTOR VEST,VTL,1,2,10,7,5,4,6,0,1,1
BICYCLE NO SAFETY HELMET,VTL,37,33,27,53,18,27,17,15,89,76
BICYCLE ON SIDEWALK,Administrative Code,23180,24552,24884,27957,32190,31402,21187,3845,1858,1072
BIKE IN PARK,Park Regs,184,458,972,308,187,538,608,471,353,236
BOX CUTTER,Administrative Code,720,771,734,625,517,524,363,274,214,255
BROKEN WINDSHIELD,VTL,33,28,15,11,3,4,3,4,1,1
COMMERCIAL VEHICLE PARKED OVERNIGHT,Traffic Regs,1,28,0,0,0,0,0,0,2,0
COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,Administrative Code,1462,1480,1542,1145,1040,1131,965,981,706,661
CONSUMPTION OF ALCOHOL,Administrative Code,129073,137281,142308,153363,133137,129967,126220,116972,104859,90640
CONSUMPTION OF ALCOHOL IN PARK,Park Regs,1488,1578,1460,1468,1221,1213,1019,681,535,628
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL,53,32,56,40,16,22,36,45,24,44
CROSSED DOUBLE YELLOW TO PASS,VTL,2,2,0,0,0,1,0,1,1,2
CROSSWALK,Traffic Regs,13,11,9,7,22,9,7,35,6,3
CRUISING,Traffic Regs,97,21,28,20,16,24,8,5,2,1
CRUISING PROHIBITED - MEDALLION,Administrative Code,1268,877,1113,1274,895,513,305,261,228,124
DEFECTIVE BREAKLIGHT,VTL,105,58,61,57,24,35,77,12,22,10
DEFECTIVE HEADLIGHT,VTL,160,130,18,85,26,10,43,19,11,6
DEFECTIVE REFLECTOR,VTL,42,35,13,19,3,2,17,1,3,4
DISOBEY TRANSIT SIGN,Transit Regs,31,7,7,22,2,5,2,3,3,76
DISORDERLY CONDUCT,Penal Law,104127,94510,101515,91756,87497,76664,56103,42207,27923,21131
DISORDERLY PERSON IN PARK,Park Regs,386,330,164,194,172,196,121,160,112,102
DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,ABC,995,224,184,172,276,315,333,239,222,224
DOG IN PARK,Park Regs,173,135,170,192,137,133,82,99,82,98
DOG: FAILURE TO REMOVE CANINE WASTE,Health Code,565,681,734,689,643,656,623,564,391,360
DOG: NO VACCINATION,Health Code,681,676,779,837,126,72,31,13,4,2
DOG: UNLEASHED,Health Code,3713,3810,3675,3255,3031,2733,2404,1809,1226,1216
DOG: UNLICENSED,Health Code,1964,2596,2670,2646,1583,1363,382,176,73,60
