;;
;;
SESAME-CRUSTED TUNA;;
Serving size(436g);;
Amount per serving;;
Calories590;;
% Daily Value*;;
Total Fat 16g;21 %;
;Saturated Fat 1.5g;8 %
;Trans Fat 0g;
Cholesterol 65mg;22 %;
Sodium 790mg;34 %;
Total Carbohydrate 58g;21 %;
;Dietary Fiber 8g;29 %
;Total Sugars 15g;
;Includes 5g Added Sugars;10 %
Protein 53g;;
Vitamin D 3mcg;15 %;
Calcium 123mg;10 %;
Iron 5mg;30 %;
Potassium 1538mg;35 %;
MOLE-SPICED STEAK;;
Serving size(471g);;
Amount per serving;;
Calories430;;
% Daily Value*;;
Total Fat 13g;17 %;
;Saturated Fat 7g;35 %
;Trans Fat 0g;
Cholesterol 85mg;28 %;
Sodium 430mg;19 %;
Total Carbohydrate 40g;15 %;
;Dietary Fiber 7g;25 %
;Total Sugars 11g;
;Includes 0g Added Sugars;0 %
Protein 38g;;
Vitamin D 0mcg;0 %;
Calcium 124mg;10 %;
Iron 5mg;30 %;
Potassium 1281mg;30 %;
* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.;;
MEDITERRANEAN STUFFED ZUCCHINI;;
Serving size(565g);;
Amount per serving;;
Calories620;;
% Daily Value*;;
Total Fat 33g;42 %;
;Saturated Fat 6g;30 %
;Trans Fat 0g;
Cholesterol 20mg;7 %;
Sodium 480mg;21 %;
Total Carbohydrate 65g;24 %;
;Dietary Fiber 10g;36 %
;Total Sugars 18g;
;Includes 0g Added Sugars;0 %
Protein 18g;;
Vitamin D 0mcg;0 %;
Calcium 243mg;20 %;
Iron 5mg;30 %;
Potassium 1027mg;20 %;
ROASTED SAUSAGES & SAUERKRAUT;;
Serving size(364g);;
Amount per serving;;
Calories540;;
% Daily Value*;;
Total Fat 42g;54 %;
;Saturated Fat 10g;50 %
;Trans Fat 0g;
Cholesterol 55mg;18 %;
Sodium 910mg;40 %;
Total Carbohydrate 22g;8 %;
;Dietary Fiber 5g;18 %
;Total Sugars 7g;
;Includes 0g Added Sugars;0 %
Protein 22g;;
Vitamin D 0mcg;0 %;
Calcium 141mg;10 %;
Iron 2mg;10 %;
Potassium 673mg;15 %;
SESAME CHICKEN STIR-FRY;;
Serving size(458g);;
Amount per serving;;
Calories460;;
% Daily Value*;;
Total Fat 11g;14 %;
;Saturated Fat 2g;10 %
;Trans Fat 0g;
Cholesterol 240mg;80 %;
Sodium 590mg;26 %;
Total Carbohydrate 41g;15 %;
;Dietary Fiber 5g;18 %
;Total Sugars 16g;
;Includes 5g Added Sugars;10 %
Protein 45g;;
Vitamin D 1mcg;6 %;
Calcium 60mg;4 %;
Iron 2mg;10 %;
Potassium 970mg;20 %;
TERIYAKI PORK PATTIES;;
Serving size(392g);;
Amount per serving;;
Calories620;;
% Daily Value*;;
Total Fat 43g;55 %;
;Saturated Fat 15g;75 %
;Trans Fat 0g;
Cholesterol 130mg;43 %;
Sodium 620mg;27 %;
Total Carbohydrate 26g;9 %;
;Dietary Fiber 4g;14 %
;Total Sugars 12g;
;Includes 0g Added Sugars;0 %
Protein 32g;;
Vitamin D 0mcg;0 %;
Calcium 131mg;10 %;
Iron 3mg;15 %;
Potassium 234mg;4 %;
MOZZARELLA-STUFFED MEATLOAVES;;
Serving size(393g);;
Amount per serving;;
Calories450;;
% Daily Value*;;
Total Fat 23g;29 %;
;Saturated Fat 10g;50 %
;Trans Fat 1g;
Cholesterol 130mg;43 %;
Sodium 640mg;28 %;
Total Carbohydrate 15g;5 %;
;Dietary Fiber 3g;11 %
;Total Sugars 6g;
;Includes 0g Added Sugars;0 %
Protein 45g;;
Vitamin D 0mcg;0 %;
Calcium 296mg;25 %;
Iron 6mg;35 %;
Potassium 1178mg;25 %;
GRILLED PERSIAN CHICKEN SALAD;;
Serving size(477g);;
Amount per serving;;
Calories410;;
% Daily Value*;;
Total Fat 21g;27 %;
;Saturated Fat 2.5g;13 %
;Trans Fat 0g;
Cholesterol 95mg;32 %;
Sodium 200mg;9 %;
Total Carbohydrate 16g;6 %;
;Dietary Fiber 6g;21 %
;Total Sugars 4g;
;Includes 0g Added Sugars;0 %
Protein 45g;;
Vitamin D 0mcg;0 %;
Calcium 84mg;6 %;
Iron 3mg;15 %;
Potassium 465mg;10 %;
PESTO PASTA PRIMAVERA;;
Serving size(518g);;
Amount per serving;;
Calories700;;
% Daily Value*;;
Total Fat 37g;47 %;
;Saturated Fat 7g;35 %
;Trans Fat 0g;
Cholesterol 135mg;45 %;
Sodium 450mg;20 %;
Total Carbohydrate 73g;27 %;
;Dietary Fiber 6g;21 %
;Total Sugars 11g;
;Includes 2g Added Sugars;4 %
Protein 24g;;
Vitamin D 1mcg;6 %;
Calcium 363mg;30 %;
Iron 5mg;20 %;
Potassium 799mg;15 %;
MUSHROOM-LENTIL FLATBREADS;;
Serving size(542g);;
Amount per serving;;
Calories830;;
% Daily Value*;;
Total Fat 35g;45 %;
;Saturated Fat 7g;35 %
;Trans Fat 0g;
Cholesterol 25mg;8 %;
Sodium 1270mg;55 %;
Total Carbohydrate 106mg;39 %;
;Dietary Fiber 6g;21 %
;Total Sugars 16g;
;Includes 3g Added Sugars;6 %
Protein 27g;;
Vitamin D 0mcg;0 %;
Calcium 392mg;30 %;
Iron 8mg;45 %;
Potassium 860mg;20 %;
