index,date
213,30 Dec 2017
214,30 Dec 2017
215,28 Dec 2017
216,22 Dec 2017
217,22 Dec 2017
218,22 Dec 2017
219,21 Dec 2017
220,20 Dec 2017
221,18 Dec 2017
222,18 Dec 2017
223,17 Dec 2017
224,15 Dec 2017
225,14 Dec 2017
226,14 Dec 2017
227,11 Dec 2017
228,7 Dec 2017
229,3 Dec 2017
230,1 Dec 2017
231,30 Nov 2017
232,30 Nov 2017
233,29 Nov 2017
234,29 Nov 2017
235,28 Nov 2017
236,27 Nov 2017
237,26 Nov 2017
238,23 Nov 2017
239,23 Nov 2017
240,22 Nov 2017
241,22 Nov 2017
242,22 Nov 2017
243,21 Nov 2017
244,21 Nov 2017
245,19 Nov 2017
246,16 Nov 2017
247,16 Nov 2017
248,15 Nov 2017
249,14 Nov 2017
250,14 Nov 2017
251,14 Nov 2017
252,12 Nov 2017
253,11 Nov 2017
254,11 Nov 2017
255,11 Nov 2017
256,11 Nov 2017
257,9 Nov 2017
258,8 Nov 2017
259,8 Nov 2017
260,8 Nov 2017
261,7 Nov 2017
262,7 Nov 2017
263,7 Nov 2017
264,6 Nov 2017
265,6 Nov 2017
266,6 Nov 2017
267,4 Nov 2017
268,3 Nov 2017
269,3 Nov 2017
270,2 Nov 2017
271,2 Nov 2017
272,2 Nov 2017
273,1 Nov 2017
274,1 Nov 2017
275,31 Oct 2017
276,31 Oct 2017
277,31 Oct 2017
278,31 Oct 2017
279,30 Oct 2017
280,29 Oct 2017
281,29 Oct 2017
282,27 Oct 2017
283,27 Oct 2017
284,26 Oct 2017
285,26 Oct 2017
286,26 Oct 2017
287,25 Oct 2017
288,25 Oct 2017
289,24 Oct 2017
290,24 Oct 2017
291,23 Oct 2017
292,22 Oct 2017
293,22 Oct 2017
294,22 Oct 2017
295,22 Oct 2017
296,22 Oct 2017
297,22 Oct 2017
298,21 Oct 2017
299,20 Oct 2017
300,20 Oct 2017
301,20 Oct 2017
302,19 Oct 2017
303,19 Oct 2017
304,19 Oct 2017
305,19 Oct 2017
306,17 Oct 2017
307,16 Oct 2017
308,15 Oct 2017
309,12 Oct 2017
310,11 Oct 2017
311,10 Oct 2017
312,10 Oct 2017
313,8 Oct 2017
314,8 Oct 2017
315,8 Oct 2017
316,7 Oct 2017
317,6 Oct 2017
318,6 Oct 2017
319,4 Oct 2017
320,4 Oct 2017
321,3 Oct 2017
322,3 Oct 2017
323,1 Oct 2017
324,1 Oct 2017
325,1 Oct 2017
326,30 Sep 2017
327,29 Sep 2017
328,29 Sep 2017
329,29 Sep 2017
330,22 Sep 2017
331,21 Sep 2017
332,21 Sep 2017
333,20 Sep 2017
334,17 Sep 2017
335,17 Sep 2017
336,15 Sep 2017
337,14 Sep 2017
338,14 Sep 2017
339,9 Sep 2017
340,8 Sep 2017
341,8 Sep 2017
342,8 Sep 2017
343,7 Sep 2017
344,6 Sep 2017
345,6 Sep 2017
346,4 Sep 2017
347,3 Sep 2017
348,2 Sep 2017
349,2 Sep 2017
350,1 Sep 2017
351,31 Aug 2017
352,31 Aug 2017
353,31 Aug 2017
354,31 Aug 2017
355,31 Aug 2017
356,31 Aug 2017
357,30 Aug 2017
358,30 Aug 2017
359,30 Aug 2017
360,30 Aug 2017
361,30 Aug 2017
362,29 Aug 2017
363,29 Aug 2017
364,29 Aug 2017
365,29 Aug 2017
366,29 Aug 2017
367,29 Aug 2017
368,29 Aug 2017
369,29 Aug 2017
370,29 Aug 2017
371,28 Aug 2017
372,28 Aug 2017
373,28 Aug 2017
374,28 Aug 2017
375,25 Aug 2017
376,25 Aug 2017
377,24 Aug 2017
378,23 Aug 2017
379,23 Aug 2017
380,23 Aug 2017
381,22 Aug 2017
382,21 Aug 2017
383,20 Aug 2017
384,19 Aug 2017
385,18 Aug 2017
386,17 Aug 2017
387,14 Aug 2017
388,11 Aug 2017
389,10 Aug 2017
390,10 Aug 2017
391,9 Aug 2017
392,7 Aug 2017
393,2 Aug 2017
394,2 Aug 2017
395,1 Aug 2017
396,31 Jul 2017
397,26 Jul 2017
398,26 Jul 2017
399,25 Jul 2017
400,25 Jul 2017
401,23 Jul 2017
402,21 Jul 2017
403,21 Jul 2017
404,21 Jul 2017
405,20 Jul 2017
406,20 Jul 2017
407,20 Jul 2017
408,20 Jul 2017
409,19 Jul 2017
410,19 Jul 2017
411,19 Jul 2017
412,19 Jul 2017
413,19 Jul 2017
414,19 Jul 2017
415,19 Jul 2017
416,19 Jul 2017
417,19 Jul 2017
418,19 Jul 2017
419,19 Jul 2017
420,17 Jul 2017
421,16 Jul 2017
422,16 Jul 2017
423,15 Jul 2017
424,15 Jul 2017
425,15 Jul 2017
426,14 Jul 2017
427,14 Jul 2017
428,14 Jul 2017
429,13 Jul 2017
430,13 Jul 2017
431,12 Jul 2017
432,10 Jul 2017
433,10 Jul 2017
434,8 Jul 2017
435,7 Jul 2017
436,7 Jul 2017
437,6 Jul 2017
438,5 Jul 2017
439,4 Jul 2017
440,4 Jul 2017
441,4 Jul 2017
442,1 Jul 2017
443,29 Jun 2017
444,27 Jun 2017
445,26 Jun 2017
446,25 Jun 2017
447,24 Jun 2017
448,24 Jun 2017
449,23 Jun 2017
450,23 Jun 2017
451,22 Jun 2017
452,21 Jun 2017
453,19 Jun 2017
454,18 Jun 2017
455,18 Jun 2017
456,18 Jun 2017
457,17 Jun 2017
458,17 Jun 2017
459,11 Jun 2017
460,11 Jun 2017
461,11 Jun 2017
462,11 Jun 2017
463,11 Jun 2017
464,11 Jun 2017
465,8 Jun 2017
466,2 Jun 2017
467,1 Jun 2017
468,31 May 2017
469,29 May 2017
470,29 May 2017
471,28 May 2017
472,28 May 2017
473,24 May 2017
474,23 May 2017
475,23 May 2017
476,23 May 2017
477,23 May 2017
478,23 May 2017
479,23 May 2017
480,23 May 2017
481,23 May 2017
482,23 May 2017
483,22 May 2017
484,21 May 2017
485,21 May 2017
486,20 May 2017
487,20 May 2017
488,19 May 2017
489,19 May 2017
490,19 May 2017
491,19 May 2017
492,18 May 2017
493,18 May 2017
494,17 May 2017
495,17 May 2017
496,17 May 2017
497,17 May 2017
498,17 May 2017
499,17 May 2017
500,16 May 2017
501,16 May 2017
502,16 May 2017
503,16 May 2017
504,16 May 2017
505,16 May 2017
506,16 May 2017
507,16 May 2017
508,16 May 2017
509,16 May 2017
510,16 May 2017
511,16 May 2017
512,16 May 2017
513,16 May 2017
514,16 May 2017
515,16 May 2017
516,16 May 2017
517,16 May 2017
518,16 May 2017
519,16 May 2017
520,16 May 2017
521,16 May 2017
522,16 May 2017
523,16 May 2017
524,16 May 2017
525,16 May 2017
526,16 May 2017
527,16 May 2017
528,16 May 2017
529,16 May 2017
530,16 May 2017
531,16 May 2017
532,16 May 2017
533,16 May 2017
534,16 May 2017
535,16 May 2017
536,16 May 2017
537,16 May 2017
538,16 May 2017
539,16 May 2017
540,16 May 2017
541,16 May 2017
542,16 May 2017
543,16 May 2017
544,16 May 2017
545,16 May 2017
546,16 May 2017
547,16 May 2017
548,16 May 2017
549,16 May 2017
550,16 May 2017
551,15 May 2017
552,14 May 2017
553,13 May 2017
554,13 May 2017
555,9 May 2017
556,9 May 2017
557,9 May 2017
558,9 May 2017
559,8 May 2017
560,6 May 2017
561,4 May 2017
562,4 May 2017
563,4 May 2017
564,4 May 2017
565,4 May 2017
566,4 May 2017
567,4 May 2017
568,3 May 2017
569,3 May 2017
570,2 May 2017
571,2 May 2017
572,2 May 2017
573,1 May 2017
574,30 Apr 2017
575,30 Apr 2017
576,29 Apr 2017
577,28 Apr 2017
578,28 Apr 2017
579,27 Apr 2017
580,26 Apr 2017
581,26 Apr 2017
582,26 Apr 2017
583,26 Apr 2017
584,26 Apr 2017
585,26 Apr 2017
586,24 Apr 2017
587,23 Apr 2017
588,23 Apr 2017
589,22 Apr 2017
590,22 Apr 2017
591,21 Apr 2017
592,21 Apr 2017
593,21 Apr 2017
594,21 Apr 2017
595,20 Apr 2017
596,20 Apr 2017
597,20 Apr 2017
598,20 Apr 2017
599,18 Apr 2017
600,18 Apr 2017
601,17 Apr 2017
602,16 Apr 2017
603,15 Apr 2017
604,15 Apr 2017
605,14 Apr 2017
606,13 Apr 2017
607,13 Apr 2017
608,13 Apr 2017
609,13 Apr 2017
610,13 Apr 2017
611,13 Apr 2017
612,13 Apr 2017
613,12 Apr 2017
614,11 Apr 2017
615,11 Apr 2017
616,11 Apr 2017
617,11 Apr 2017
618,10 Apr 2017
619,9 Apr 2017
620,9 Apr 2017
621,9 Apr 2017
622,9 Apr 2017
623,7 Apr 2017
624,7 Apr 2017
625,7 Apr 2017
626,7 Apr 2017
627,6 Apr 2017
628,6 Apr 2017
629,6 Apr 2017
630,6 Apr 2017
631,5 Apr 2017
632,5 Apr 2017
633,5 Apr 2017
634,5 Apr 2017
635,5 Apr 2017
636,4 Apr 2017
637,4 Apr 2017
638,3 Apr 2017
639,3 Apr 2017
640,3 Apr 2017
641,3 Apr 2017
642,3 Apr 2017
643,3 Apr 2017
644,2 Apr 2017
645,2 Apr 2017
646,1 Apr 2017
647,31 Mar 2017
648,31 Mar 2017
649,31 Mar 2017
650,30 Mar 2017
651,30 Mar 2017
652,29 Mar 2017
653,28 Mar 2017
654,26 Mar 2017
655,25 Mar 2017
656,24 Mar 2017
657,23 Mar 2017
658,23 Mar 2017
659,23 Mar 2017
660,23 Mar 2017
661,23 Mar 2017
662,23 Mar 2017
663,22 Mar 2017
664,21 Mar 2017
665,21 Mar 2017
666,21 Mar 2017
667,21 Mar 2017
668,21 Mar 2017
669,21 Mar 2017
670,21 Mar 2017
671,20 Mar 2017
672,20 Mar 2017
673,19 Mar 2017
674,19 Mar 2017
675,19 Mar 2017
676,19 Mar 2017
677,19 Mar 2017
678,18 Mar 2017
679,17 Mar 2017
680,17 Mar 2017
681,17 Mar 2017
682,17 Mar 2017
683,16 Mar 2017
684,16 Mar 2017
685,15 Mar 2017
686,15 Mar 2017
687,15 Mar 2017
688,15 Mar 2017
689,15 Mar 2017
690,15 Mar 2017
691,15 Mar 2017
692,14 Mar 2017
693,14 Mar 2017
694,13 Mar 2017
695,13 Mar 2017
696,12 Mar 2017
697,12 Mar 2017
698,12 Mar 2017
699,12 Mar 2017
700,11 Mar 2017
701,10 Mar 2017
702,10 Mar 2017
703,10 Mar 2017
704,9 Mar 2017
705,8 Mar 2017
706,8 Mar 2017
707,7 Mar 2017
708,6 Mar 2017
709,5 Mar 2017
710,4 Mar 2017
711,4 Mar 2017
712,3 Mar 2017
713,3 Mar 2017
714,3 Mar 2017
715,3 Mar 2017
716,3 Mar 2017
717,3 Mar 2017
718,3 Mar 2017
719,3 Mar 2017
720,3 Mar 2017
721,3 Mar 2017
722,3 Mar 2017
723,3 Mar 2017
724,3 Mar 2017
725,3 Mar 2017
726,3 Mar 2017
727,3 Mar 2017
728,3 Mar 2017
729,3 Mar 2017
730,3 Mar 2017
731,2 Mar 2017
732,1 Mar 2017
733,28 Feb 2017
734,27 Feb 2017
735,26 Feb 2017
736,25 Feb 2017
737,24 Feb 2017
738,24 Feb 2017
739,24 Feb 2017
740,24 Feb 2017
741,24 Feb 2017
742,23 Feb 2017
743,23 Feb 2017
744,22 Feb 2017
745,22 Feb 2017
746,22 Feb 2017
747,21 Feb 2017
748,20 Feb 2017
749,19 Feb 2017
750,19 Feb 2017
751,17 Feb 2017
752,17 Feb 2017
753,17 Feb 2017
754,17 Feb 2017
755,16 Feb 2017
756,16 Feb 2017
757,16 Feb 2017
758,15 Feb 2017
759,15 Feb 2017
760,15 Feb 2017
761,15 Feb 2017
762,14 Feb 2017
763,13 Feb 2017
764,12 Feb 2017
765,12 Feb 2017
766,12 Feb 2017
767,11 Feb 2017
768,11 Feb 2017
769,10 Feb 2017
770,9 Feb 2017
771,9 Feb 2017
772,8 Feb 2017
773,8 Feb 2017
774,7 Feb 2017
775,7 Feb 2017
776,7 Feb 2017
777,7 Feb 2017
778,6 Feb 2017
779,6 Feb 2017
780,6 Feb 2017
781,5 Feb 2017
782,4 Feb 2017
783,4 Feb 2017
784,4 Feb 2017
785,4 Feb 2017
786,4 Feb 2017
787,4 Feb 2017
788,2 Feb 2017
789,1 Feb 2017
790,1 Feb 2017
791,1 Feb 2017
792,1 Feb 2017
793,1 Feb 2017
794,30 Jan 2017
795,30 Jan 2017
796,30 Jan 2017
797,28 Jan 2017
798,28 Jan 2017
799,28 Jan 2017
800,27 Jan 2017
801,27 Jan 2017
802,27 Jan 2017
803,27 Jan 2017
804,27 Jan 2017
805,25 Jan 2017
806,24 Jan 2017
807,24 Jan 2017
808,24 Jan 2017
809,24 Jan 2017
810,23 Jan 2017
811,22 Jan 2017
812,22 Jan 2017
813,22 Jan 2017
814,22 Jan 2017
815,21 Jan 2017
816,21 Jan 2017
817,21 Jan 2017
818,21 Jan 2017
819,21 Jan 2017
820,21 Jan 2017
821,20 Jan 2017
822,18 Jan 2017
823,17 Jan 2017
824,16 Jan 2017
825,16 Jan 2017
826,16 Jan 2017
827,16 Jan 2017
828,14 Jan 2017
829,14 Jan 2017
830,14 Jan 2017
831,14 Jan 2017
832,13 Jan 2017
833,10 Jan 2017
834,9 Jan 2017
835,9 Jan 2017
836,9 Jan 2017
837,9 Jan 2017
838,7 Jan 2017
839,7 Jan 2017
840,7 Jan 2017
841,7 Jan 2017
842,4 Jan 2017
843,3 Jan 2017
844,3 Jan 2017
845,3 Jan 2017
846,1 Jan 2017
847,1 Jan 2017
848,1 Jan 2017
849,1 Jan 2017
850,31 Dec 2016
851,31 Dec 2016
852,31 Dec 2016
853,31 Dec 2016
854,30 Dec 2016
855,29 Dec 2016
856,29 Dec 2016
857,29 Dec 2016
858,28 Dec 2016
859,27 Dec 2016
860,25 Dec 2016
861,25 Dec 2016
862,25 Dec 2016
863,24 Dec 2016
864,24 Dec 2016
865,23 Dec 2016
866,22 Dec 2016
867,20 Dec 2016
868,20 Dec 2016
869,20 Dec 2016
870,20 Dec 2016
871,20 Dec 2016
872,19 Dec 2016
873,19 Dec 2016
874,19 Dec 2016
875,19 Dec 2016
876,19 Dec 2016
877,18 Dec 2016
878,18 Dec 2016
879,17 Dec 2016
880,17 Dec 2016
881,17 Dec 2016
882,17 Dec 2016
883,16 Dec 2016
884,15 Dec 2016
885,15 Dec 2016
886,15 Dec 2016
887,15 Dec 2016
888,14 Dec 2016
889,14 Dec 2016
890,14 Dec 2016
891,14 Dec 2016
892,14 Dec 2016
893,13 Dec 2016
894,13 Dec 2016
895,13 Dec 2016
896,12 Dec 2016
897,12 Dec 2016
898,11 Dec 2016
899,11 Dec 2016
900,11 Dec 2016
901,11 Dec 2016
902,10 Dec 2016
903,10 Dec 2016
904,10 Dec 2016
905,10 Dec 2016
906,10 Dec 2016
907,10 Dec 2016
908,10 Dec 2016
909,9 Dec 2016
910,9 Dec 2016
911,9 Dec 2016
912,9 Dec 2016
913,9 Dec 2016
914,8 Dec 2016
915,8 Dec 2016
916,8 Dec 2016
917,8 Dec 2016
918,7 Dec 2016
919,7 Dec 2016
920,7 Dec 2016
921,6 Dec 2016
922,6 Dec 2016
923,6 Dec 2016
924,6 Dec 2016
925,6 Dec 2016
926,6 Dec 2016
927,6 Dec 2016
928,6 Dec 2016
929,6 Dec 2016
930,6 Dec 2016
931,6 Dec 2016
932,6 Dec 2016
933,6 Dec 2016
934,6 Dec 2016
935,6 Dec 2016
936,6 Dec 2016
937,6 Dec 2016
938,6 Dec 2016
939,6 Dec 2016
940,6 Dec 2016
941,6 Dec 2016
942,6 Dec 2016
943,6 Dec 2016
944,6 Dec 2016
945,6 Dec 2016
946,6 Dec 2016
947,6 Dec 2016
948,6 Dec 2016
949,6 Dec 2016
950,6 Dec 2016
951,6 Dec 2016
952,6 Dec 2016
953,6 Dec 2016
954,6 Dec 2016
955,6 Dec 2016
956,6 Dec 2016
957,6 Dec 2016
958,6 Dec 2016
959,6 Dec 2016
960,6 Dec 2016
961,6 Dec 2016
962,5 Dec 2016
963,4 Dec 2016
964,4 Dec 2016
965,3 Dec 2016
966,3 Dec 2016
967,3 Dec 2016
968,2 Dec 2016
969,2 Dec 2016
970,2 Dec 2016
971,2 Dec 2016
972,2 Dec 2016
973,2 Dec 2016
974,2 Dec 2016
975,2 Dec 2016
976,2 Dec 2016
977,2 Dec 2016
978,2 Dec 2016
979,2 Dec 2016
980,2 Dec 2016
981,1 Dec 2016
982,1 Dec 2016
983,1 Dec 2016
984,1 Dec 2016
985,1 Dec 2016
986,1 Dec 2016
987,1 Dec 2016
988,1 Dec 2016
989,1 Dec 2016
990,1 Dec 2016
991,1 Dec 2016
992,1 Dec 2016
993,1 Dec 2016
994,1 Dec 2016
995,1 Dec 2016
996,1 Dec 2016
997,1 Dec 2016
998,1 Dec 2016
999,1 Dec 2016
1000,1 Dec 2016
1001,1 Dec 2016
1002,1 Dec 2016
1003,1 Dec 2016
1004,1 Dec 2016
1005,1 Dec 2016
1006,1 Dec 2016
1007,30 Nov 2016
1008,30 Nov 2016
1009,30 Nov 2016
1010,30 Nov 2016
1011,29 Nov 2016
1012,29 Nov 2016
1013,29 Nov 2016
1014,29 Nov 2016
1015,29 Nov 2016
1016,29 Nov 2016
1017,29 Nov 2016
1018,29 Nov 2016
1019,29 Nov 2016
1020,29 Nov 2016
1021,29 Nov 2016
1022,29 Nov 2016
1023,29 Nov 2016
1024,28 Nov 2016
1025,28 Nov 2016
1026,28 Nov 2016
1027,27 Nov 2016
1028,26 Nov 2016
1029,26 Nov 2016
1030,26 Nov 2016
1031,25 Nov 2016
1032,25 Nov 2016
1033,24 Nov 2016
1034,24 Nov 2016
