index,date
0,Aug 19 2018
1,Aug 19 2018
2,Aug 15 2018
3,Aug 15 2018
4,Aug 15 2018
5,Aug 9 2018
6,Aug 8 2018
7,Aug 8 2018
8,Aug 7 2018
9,Aug 4 2018
10,Aug 3 2018
11,Aug 3 2018
12,Aug 2 2018
13,Aug 2 2018
14,Aug 1 2018
15,Aug 1 2018
16,Aug 1 2018
17,Jul 24 2018
18,Jul 22 2018
19,Jul 20 2018
20,Jul 17 2018
21,Jul 17 2018
22,Jul 17 2018
23,Jul 17 2018
24,Jul 17 2018
25,Jul 16 2018
26,Jul 16 2018
27,Jul 15 2018
28,Jul 15 2018
29,Jul 12 2018
30,Jul 11 2018
31,Jul 10 2018
32,Jul 10 2018
33,Jul 3 2018
34,Jul 2 2018
35,Jun 28 2018
36,Jun 26 2018
37,Jun 22 2018
38,Jun 18 2018
39,Jun 17 2018
40,Jun 15 2018
41,Jun 14 2018
42,Jun 14 2018
43,Jun 13 2018
44,Jun 13 2018
45,Jun 5 2018
46,Jun 4 2018
47,Jun 1 2018
48,May 30 2018
49,May 30 2018
50,May 30 2018
51,May 29 2018
52,May 28 2018
53,May 28 2018
54,May 25 2018
55,May 17 2018
56,May 15 2018
57,May 13 2018
58,May 9 2018
59,May 8 2018
60,May 8 2018
61,May 3 2018
62,May 3 2018
63,May 3 2018
64,May 2 2018
65,May 2 2018
66,Apr 30 2018
67,Apr 29 2018
68,Apr 29 2018
69,Apr 25 2018
70,Apr 25 2018
71,Apr 20 2018
72,Apr 18 2018
73,Apr 18 2018
74,Apr 16 2018
75,Apr 16 2018
76,Apr 16 2018
77,Apr 15 2018
78,Apr 13 2018
79,Apr 8 2018
80,Apr 5 2018
81,Apr 4 2018
82,Mar 31 2018
83,Mar 30 2018
84,Mar 29 2018
85,Mar 28 2018
86,Mar 28 2018
87,Mar 27 2018
88,Mar 25 2018
89,Mar 24 2018
90,Mar 24 2018
91,Mar 23 2018
92,Mar 23 2018
93,Mar 23 2018
94,Mar 23 2018
95,Mar 23 2018
96,Mar 22 2018
97,Mar 22 2018
98,Mar 22 2018
99,Mar 22 2018
100,Mar 22 2018
101,Mar 22 2018
102,Mar 21 2018
103,Mar 21 2018
104,Mar 21 2018
105,Mar 21 2018
106,Mar 20 2018
107,Mar 18 2018
108,Mar 18 2018
109,Mar 17 2018
110,Mar 17 2018
111,Mar 16 2018
112,Mar 16 2018
113,Mar 14 2018
114,Mar 14 2018
115,Mar 14 2018
116,Mar 13 2018
117,Mar 12 2018
118,Mar 12 2018
119,Mar 11 2018
120,Mar 11 2018
121,Mar 11 2018
122,Mar 11 2018
123,Mar 10 2018
124,Mar 10 2018
125,Mar 9 2018
126,Mar 9 2018
127,Mar 9 2018
128,Mar 8 2018
129,Mar 8 2018
130,Mar 7 2018
131,Mar 7 2018
132,Mar 7 2018
133,Mar 6 2018
134,Mar 6 2018
135,Mar 5 2018
136,Mar 5 2018
137,Mar 4 2018
138,Mar 4 2018
139,Mar 3 2018
140,Mar 3 2018
141,Mar 3 2018
142,Mar 2 2018
143,Mar 2 2018
144,Feb 27 2018
145,Feb 27 2018
146,Feb 27 2018
147,Feb 27 2018
148,Feb 26 2018
149,Feb 25 2018
150,Feb 25 2018
151,Feb 23 2018
152,Feb 23 2018
153,Feb 22 2018
154,Feb 22 2018
155,Feb 21 2018
156,Feb 20 2018
157,Feb 19 2018
158,Feb 19 2018
159,Feb 17 2018
160,Feb 17 2018
161,Feb 16 2018
162,Feb 16 2018
163,Feb 15 2018
164,Feb 15 2018
165,Feb 14 2018
166,Feb 14 2018
167,Feb 13 2018
168,Feb 13 2018
169,Feb 13 2018
170,Feb 10 2018
171,Feb 10 2018
172,Feb 10 2018
173,Feb 5 2018
174,Feb 2 2018
175,Feb 1 2018
176,Jan 31 2018
177,Jan 31 2018
178,Jan 27 2018
179,Jan 27 2018
180,Jan 25 2018
181,Jan 24 2018
182,Jan 21 2018
183,Jan 21 2018
184,Jan 20 2018
185,Jan 20 2018
186,Jan 20 2018
187,Jan 19 2018
188,Jan 19 2018
189,Jan 19 2018
190,Jan 19 2018
191,Jan 19 2018
192,Jan 19 2018
193,Jan 19 2018
194,Jan 19 2018
195,Jan 19 2018
196,Jan 19 2018
197,Jan 19 2018
198,Jan 19 2018
199,Jan 18 2018
200,Jan 12 2018
201,Jan 12 2018
202,Jan 12 2018
203,Jan 9 2018
204,Jan 9 2018
205,Jan 8 2018
206,Jan 8 2018
207,Jan 7 2018
208,Jan 7 2018
209,Jan 6 2018
210,Jan 5 2018
211,Jan 3 2018
212,Jan 1 2018
