date,tweets1,tweets2
2015-11-30,2,2
2015-12-31,7,7
2016-01-31,213,213
2016-02-29,106,106
2016-03-31,70,70
2016-04-30,138,138
2016-05-31,654,654
2016-06-30,262,262
2016-07-31,182,182
2016-08-31,214,214
2016-09-30,271,271
2016-10-31,148,148
2016-11-30,117,117
2016-12-31,157,157
2017-01-31,56,56
2017-02-28,61,61
2017-03-31,86,86
2017-04-30,73,73
2017-05-31,106,106
2017-06-30,25,25
2017-07-31,47,47
2017-08-31,45,45
2017-09-30,25,25
2017-10-31,51,51
2017-11-30,44,44
2017-12-31,18,18
2018-01-31,37,37
2018-02-28,32,32
2018-03-31,62,62
2018-04-30,16,16
2018-05-31,18,18
2018-06-30,13,13
2018-07-31,18,18
2018-08-31,17,17
